"","GC124724","GC124725","GC124726","GC124727","GC124728","GC124729","GC124730","GC124731","GC124732","GC124733","GC124734","GC124735","GC124736","GC124737","GC124738"
"BT_1449",691,1198,1190.197,6498.003,8064,5591,461,407,306,46,29,145,136,53,92
"BT_1450",7006,11043.217,10010.803,31415,38731,29828,1396,1123.008,881,156,130,127,109,106,140
"BT_1451",1357,1813.363,1805.71,22422.519,23330.037,19654.536,130.736,136.111,92,25,0,0,15,19,19
"BT_1452",1716,2268.637,2119.29,24379.114,27631.963,21623.787,256.264,325.889,249,155,167,267,220,145,250
"BT_1453",6626,8334.004,9175,24264.712,27790.167,21994,2230,2797,2102,329,234,387,98,62,127
"BT_1454",813,1415.889,1450.297,236,245.003,164,55,21,8,53,15,71,54,25,29
"BT_1455",3053,5308.24,6282.703,515,516.997,425,474,639,274,189,56,97,98,57,73
"BT_1456",15626.663,21089.203,21135,14538,29580,22080,1450,1634,1654,627,463,740,803,691,865
"BT_1457",185,311.053,315.464,88.951,93,98.835,26,27,20,0,0,71,3,0,0
"BT_1458",716,831.371,779.399,303.049,334,230.165,36,11,9,0,0,0,3,5,0
"BT_1459",1465,1618.576,1626.137,868,982,817,505,710,489,20,51,34,15,4,1
"BT_1460",126,121,135,203,227,167,167,175,104,38,14,18,21,11,10
"BT_1461",185,132,121,139,116,151,47,70,29,0,0,0,3,0,0
"BT_1462",87,70,52,210,144,154,195,131,101,8,40,21,9,0,0
"BT_1463",178,170,224,268,182,129,582,706,388,7,11,24,56,11,0
"BT_1464",336,533,453,393,371,299,215,123,102,13,0,0,9,1,1
"BT_1465",761,1071.551,1053,1494.005,1672.685,1221,675,528.825,491,122,122,211,89,43,95
"BT_1466",293,355.449,355,247.995,294.315,281,128,200.175,60,0,0,0,6,3,13
"BT_1467",11,31,22,58,67,45,50,22,5,15,7,13,5,0,6
"BT_1468",0,6,6,22,41,26,0,14,0,0,0,12,4,0,0
"BT_1469",822,1102,1195,497,690,489,322,207,410,50,31,23,56,6,28
"BT_1470",56,47,39,15,33,24,0,12,19,0,0,1,0,0,0
"BT_1471",2976,4043.045,4157.004,6652.763,7578.87,6237.993,221,229,115.954,0,14,21,10,8,3
"BT_1472",10958,10169.981,11213.382,24045.134,27093,24858.007,102,78,50.046,24,15,0,15,7,55
"BT_1473",339,554.002,705.693,733.825,653.358,548.13,86.663,113.163,80,57,6,23,4,20,0
"BT_1474",3003,3625.998,3858.327,3634.175,3543.642,2791.87,1460.337,1701.837,1297,60,57,57,63,73,39
"BT_1475",8440,11134,12078.553,4783,5318,3745,93,77,76,40,38,0,12,5,13
"BT_1476",18154,22032.301,23914.061,13205,16302,12486,296,300,213,0,11,37,36,60,22
"BT_1477",5020,6733.048,6793,19105.405,17784.688,13611.194,3334,3204,2924,892,688,799,2344,1483,2178
"BT_1478",1186,1407,1428,778.185,1008,661.536,65,33,78,43,47,8,48,88,99
"BT_1479",4960,8396,8271.073,8772.788,9003,6790.464,383,446,324,53,46,62,184,73,127
"BT_1480",3741,4612.454,4627,5302.342,5389.516,4387.605,3055,4769.194,3146,218,83,159,367,198,264
"BT_1481",10397,14557.533,15189.914,47569.975,52276.179,40751.535,9541,10061.806,7284,1086,834,927,665,418,580
"BT_1482",868.16,1123,1136.859,2180.045,2120.222,1703.365,891.999,1210.065,742,25,23,63,101,96,80
"BT_1483",674.84,671,640.141,1192.955,1223.778,828.635,36.001,187.935,72,22,0,18,10,3,35
"BT_1484",4692,4771.064,4795,9902,10304,8353,9420,7904,9207,429,270,588,506,243,504
"BT_1485",1701,1837,1697,3409,2740,2151,966,1162,1013,7,6,44,52,29,46
"BT_1486",59621.847,67059.676,65900.803,18728.284,18870.635,14400.273,3150,4832,3256,777,529,758,352,155,329
"BT_1487",9768.153,11329.498,10704.5,4296.658,4858.365,3749.727,189,480,268,26,32,64,200,91,148
"BT_1488",5663,9196.999,8932.961,5016.793,5408,3760,81,149,69,78,42,62,351,159,175
"BT_1489",5704,6889.745,6913.598,6136.955,6391.649,4890.748,547,1143,445,48,43,4,252,150,205
"BT_1490",6564.601,9264.039,9333.493,10777.681,11094.462,8081.121,457,444,342,16,51,99,162,83,57
"BT_1491",5297.399,4745.214,4027.909,3212.632,2625.888,2501.18,65,33,94,48,32,12,68,57,83
"BT_1492",1306,1450,1419,2798,2154.049,1486,2692,3736.528,2741,36,52,213,686,374,382
"BT_1493",1468.865,1831.658,1465.807,7529.282,5683.896,5191.598,60,83.472,58.907,31,7.13,52,112,43.647,114.475
"BT_1494",1841.135,4263.088,3065.193,42518.718,35821.104,23403.331,510,122,185.093,23,51.87,44,409,342.353,360.525
"BT_1495",2883,4601.815,4686.638,3188.559,3416.705,2608,23,48,48,20,16,3,119,59,74
