"","GC124724","GC124725","GC124726","GC124727","GC124728","GC124729","GC124730","GC124731","GC124732","GC124733","GC124734","GC124735","GC124736","GC124737","GC124738"
"BT_0001",29,48,48,261,279.998,228,77,25,81,19,41,74,34,54,41
"BT_0002",49,39,49,196,197.002,128,81,69,68,0,17,0,25,12,16
"BT_0003",26,38,30,42,31,37,70,61,42,10,12,0,0,8,0
"BT_0004",0,3,3,9,13,9,7,31,0,0,0,0,3,0,0
"BT_0005",7,8,5,2,13,11,0,10,0,0,0,0,0,0,6
"BT_0006",0,10,0,5,4,1,21,0,0,0,0,0,0,0,0
"BT_0007",0,0,0,7,6,0,0,0,0,0,0,0,0,1,0
"BT_0008",1262,1268,1261,798.012,828,564,502,943,600,152,149,246,370,152,257
"BT_0009",324,497,508,655.988,687,466,112,103,74,26,0,0,16,0,4
"BT_0010",92,189,118,175,214,160,23,11,11,0,0,0,0,0,0
"BT_0011",15,37,33,48,37,34,9,0,0,0,0,0,0,0,0
"BT_0012",241,382.543,396,1075,1315,893,176,148,136,102,42,23,37,16,44
"BT_0013",24,69.457,70,117,134,66,45,9,44,0,6,0,0,3,0
"BT_0014",151,307,321,508,552,361,59,29,71,0,23,19,12,14,10
"BT_0015",8,39,41,85,62,49,0,0,0,0,0,0,9,0,0
"BT_0016",26,13,19,6,8,3,16,0,0,0,0,0,0,0,0
"BT_0017",5,21,22,21,37,24,9,5,10,0,5,0,11,0,3
"BT_0018",19,56,45,123,133,111,98,3,86,8,31,0,4,0,3
"BT_0019",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"BT_0020",0,1,0,0,0,0,0,0,0,0,0,0,0,3,0
"BT_0021",0,4,5,4,4,5,0,0,0,0,0,0,0,0,0
"BT_0022",21,16,13.583,42.957,20.951,39.977,19,5.824,0,0,0,0,13,19,3
"BT_0023",0,0,0,1,0,0,4.852,17.517,20,0,0,0,0,0,9
"BT_0024",23,11,38,64,96,64,205.148,312.483,173,25,28,22,19,8,24
"BT_0025",0,2,0,7,5,3,39,0,7,0,0,0,0,0,0
"BT_0026",15.143,6,19,11,0,5,40,43,61,0,2,0,8,2,0
"BT_0027",52,61,37.196,148.219,91.309,102,35,65,95,0,0,0,11,17,5
"BT_0028",26,76.999,40,86,80,85.999,8,0,0,0,12,0,0,0,4
"BT_0029",537,618.001,557,439,539,370.468,165,225,146,0,18,15,0,18,6
"BT_0030",286,352,343,144,234,182.532,84,161,71,0,0,0,8,0,1
"BT_0031",100,94,104.988,90.094,105,111,47,44,54,0,0,0,5,13,5
"BT_0032",1,1,2.012,16.906,1,0,0,0,0,0,0,0,0,0,0
"BT_0033",39,40,35,98,123,74,0,89,19,25,16,0,10,13,2
"BT_0034",118,94,120,285.667,292,261.002,554,965,395.554,24,21,0,124,31.999,63
"BT_0035",0,0,4,3,3,0,0,0,7,0,8,0,0,1,0
"BT_0036",41,28,55,79,120,63,47,5,38,17,6,13,21,0,5
"BT_0037",771,757,782.211,540,547,506,214,226.88,163,0,22,51,24,32,43
"BT_0038",12,24,18,27,24,10,15,78.12,1,0,0,0,5,0,3
"BT_0039",48,81.426,97.487,46.546,110.817,45,5,7,25,0,0,0,3,6,2
"BT_0040",113,123.574,161.513,132.454,193.183,58,12,23,73,7,30,6,33,8,16
"BT_0041",125,192.998,211,221.787,287,214,38,8,21,0,13,22,4,0,18
"BT_0042",66,58.002,45,56.213,43,38,0,0,10,0,8,0,4,0,5
"BT_0043",0,1,0,0,1,2,11,0,4,0,0,0,0,0,0
"BT_0044",22,17.288,17,40.214,60,60,11,29,34,0,0,0,0,6,0
"BT_0045",9,50.712,36,162.381,211.603,157.926,126.155,111.416,72.237,0,14,15,6,5,11
"BT_0046",65.85,127,100,275.405,325.122,171.074,396.845,296.584,271.763,23,36,14,35,4,12
"BT_0047",6.15,12,17,41,19.275,12,0,25,33,0,0,0,0,0,0
"BT_0048",15,18,11,50,22,25,14,44,20,0,0,0,7,0,0
"BT_0049",59,78,30,125,159,164,38,36,35,0,0,15,16,6,20
"BT_0050",35,80,80,120.001,110,71,109,86.781,206.015,11,10,30,6,3.708,16
"BT_0051",55,84,51,108.999,75,118,9,17.219,31.985,0,15,13,8,7.292,27
"BT_0052",353,379,434,998.352,1500,1188,68,31,22,48,9,6,4,5,7
"BT_0053",160,107,95,251.648,224,198,10,16,17,23,0,0,33,9,7
"BT_0054",38,62,74,81,40,109,37,29,38,16,9,9,0,2,12
"BT_0055",48,51,58,117,145,129,7,0,7,0,4,0,6,0,0
"BT_0056",93,111,145,164.22,234.503,185,34,25,14,0,21,0,9,15,0
"BT_0057",62,50,57,102.78,146.497,73,7,2,0,0,0,0,0,0,7
"BT_0058",814,1350,1543,1868.352,1740,1370,528,513,278,145,125,85,110,22,33
"BT_0059",933,987,1289,1407.648,1472,863,227,206,193,1,45,13,20,10,36
"BT_0060",264,335,310,555,529,443,41,0,20,0,15,0,22,2,0
"BT_0061",1239,1593,1703.037,2713,2606,2003,449,188,188,48,90,0,12,18,23
"BT_0062",0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
"BT_0063",0,3,2,0,5,2,0,0,0,0,0,0,0,0,0
"BT_0064",330,479,622,1376,1559,1396.001,408,435.001,292,75,40,30,17,19,72
"BT_0065",946,1211,1372,2651,3035,2114.999,1148,346,460,46,97,41,83,56,62
"BT_0066",97,112,149,167,224,144,28,9,0,12,0,0,4,6,2
"BT_0067",6,11,13,24,22,17,0,0,0,0,0,0,0,0,0
"BT_0068",92,87,92,184,199,156,41,21,3,13,7,21,16,0,9
"BT_0069",471,507,450,849,1051.616,907,61,84,32,104,4,0,19,56,23
"BT_0070",421,559.017,484,1253,1497.384,1203,14,23,24,25,4,8,22,10,14
"BT_0071",1123,1436,1304,2350,2467,1875,39,24,34,0,8,0,20,26,27
"BT_0072",1541.989,1132.432,1038.141,921.673,897.415,555.475,20.11,12,7,14,18,0,9,17,15.43
"BT_0073",44441.228,66149.202,68386.782,95140.372,97033.845,68101.688,23856.832,14121.257,14381.077,2600.819,2130.814,2097.87,1146.186,594.954,1030.036
"BT_0074",8712.465,15146.75,14864.227,16960.503,16340.501,11818.446,7870.058,6123.743,4679.923,1643.181,1532.186,1424.13,582.814,318.046,565.534
"BT_0075",16,29,31.417,87.043,68.049,63.023,21,79.176,22,6,39,40,10,21,10
"BT_0076",325,365,352,202,224,105,68,154,145,0,26,32,56,17,73
"BT_0077",41,44,23,18,38,79,6,0,0,0,2,0,20,3,14
"BT_0078",0,3,8,21,20,11,0,6,0,0,0,0,0,0,0
"BT_0079",0,0,0,0,0,5,8,0,0,0,0,0,0,0,0
"BT_0080",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"BT_0081",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BT_0082",990,768.801,667.99,993.988,601.889,569.373,339,681.981,413.002,14,47,99,38,10,53
"BT_0083",1940,1387.199,1083.01,1704.012,1236.111,1281.627,380,699.019,510.998,72,4,40,53,25,46
"BT_0084",8,42,16,158,188,131,134,80,96,23,2,21,0,14,1
"BT_0085",10,6,1,13,32,28,0,20,0,0,3,0,2,0,0
"BT_0086",8,27,28,107,116,84,9,50,60,9,0,0,14,5,14
"BT_0087",36,25,25,179,151,90,468,498,592,53,51,83,80,47,49
"BT_0088",0,6,4,7,1,0,0,0,0,0,0,0,0,0,0
"BT_0089",0,3,6,8,12,9,0,0,3,0,0,0,0,0,0
"BT_0090",29,17,13,59,73,53,9,18,12,0,14,0,3,0,0
"BT_0091",5,1,1,5,5,4,7,8,0,0,11,20,0,0,0
"BT_0092",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"BT_0093",9,10,16,40,35,38,0,2,0,13,10,0,14,4,0
"BT_0094",20,10,5,14,31,38,9,21,16,16,9,0,0,0,0
"BT_0095",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BT_0096",12,33,26,73,133,93,64,8,90,34,0,0,6,4,0
"BT_0097",4,1,1,0,6,5,0,0,0,0,0,0,0,0,0
"BT_0098",15,2,8,34,30,29,8,0,1,0,11,7,5,0,4
"BT_0099",0,0,4,0,1,0,0,0,0,0,0,0,0,0,0
"BT_0100",0,0,4,0,0,1,0,0,0,0,0,0,0,0,7
"BT_0101",2,6,1,13,15,14,0,0,0,0,0,0,0,0,0
"BT_0102",26,5,6,62,54,37,22,12,29,11,12,0,4,3,8
"BT_0103",0,1,0,6,3,6,0,0,34,0,0,0,4,0,0
"BT_0104",0,0,1,0,3,0,0,0,0,0,0,0,0,0,0
"BT_0105",23,29,11,144,175,81,31,37,6,2,21,0,13,2,9
"BT_0106",1693,2606,2548,5598,5384,4190,592,345,370,125,102,81,104,37,82
"BT_0107",9,4,3,27,1,4,13,0,0,0,0,0,27,14,8
"BT_0108",15,29,16,66,118,56,0,20,30,7,6,0,18,2,17
"BT_0109",0,5,4,7,4,6,0,0,0,0,0,0,0,0,0
"BT_0110",9,16,15,49,37,46,16,27,0,10,0,0,5,16,0
"BT_0111",39,114,79.966,2780,1811,1638,0,0,0,0,0,0,6,0,6
"BT_0112",36,44,37.034,63,107,97,7,19,15,0,23,0,16,0,10
"BT_0113",29,24.132,26,193,154,161,4,7,0,0,0,0,7,4,0
"BT_0114",141,183.629,219,354,342,295,46,39,10,11,2,26,0,0,1
"BT_0115",32,18.24,20,19,31,17,7,0,0,14,6,0,1,0,0
"BT_0116",96,73,97,53,80,58,34,90,41,21,0,0,10,5,8
"BT_0117",8,31,12.596,4.311,15,6,0,1,0,0,6,0,2,4,1
"BT_0118",51,35,28.404,18.689,7,7,22,0,35,0,6,0,7,0,4
"BT_0119",13,16,29,8,6,1,0,0,0,22,0,0,0,0,0
"BT_0120",10,8.997,7,0,1,0,15,0,16,0,0,0,0,0,0
"BT_0121",1833,1914.003,1862,985,1011,864,201,104,70,0,10,0,18,10,26
"BT_0122",26670,33480.54,31392.485,28104.813,31118,22247,14973,12689,10724,1832,1590,2183,1231,662,837
"BT_0123",7,21,9,6,1,0,20,9,13,0,0,0,3,0,5
"BT_0124",43,101,71,81,91,45,49,67.982,28,0,12,0,18,19,2
"BT_0125",848,1074,1141,990,861,562,664,771.018,712,19,40,16,96,28,44
"BT_0126",3890,5258.656,5624.91,5749.046,6125.728,4459,2820,3118.003,2795,301,178,189,314,209,291
"BT_0127",635,761.344,881.109,1585.514,1499,1182,533,931.997,630,86,62,53,263,122,109
"BT_0128",183,721,600,964.44,603,496,122,32,75,20,36,24,64,87,83
"BT_0129",25,40,34,108,100.002,104,47,90,23,21,9,28,30,26,9
"BT_0130",23,27,31,33,36.998,22,24,73,30,0,4,0,11,5,6
"BT_0131",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"BT_0132",368,491,435,674,753,518,594,972,498,151,95,100,83,85,101
"BT_0133",3977.638,5146.41,5384.09,14928.347,18040.027,13298.217,1264.224,1104.225,1272.086,330.894,245,290,304.997,152,234.065
"BT_0134",364.362,351.503,266.693,1364.513,1080.053,982.774,395.922,320.775,304.048,16.106,6,49,62.003,25,29.935
"BT_0135",2622,3375.814,3078.217,9154.376,9362.919,7349.581,6056.855,9936,5381.866,57,36,68,140,82,104
"BT_0136",347,485,454,1586.338,1776,1322,2924.313,4015.752,3407,231,291,142,253,148,182
"BT_0137",75,76,103,124,122,134,389.687,535.248,378,52,37,41,89,46,89
"BT_0138",11102,14504.948,15073,15266.002,16200,11463,10165,7389,6688,1702,1510,1573,956,679,785
"BT_0139",0,2,10,12,7,3,48,22,2,0,0,0,0,0,0
"BT_0140",344,472,349,941,797,678,2137.665,2271,1827,111,135,71,73,41,76
"BT_0141",130,226,209,487,625,362,357.335,442,552,136.998,137,31,45,39,19
"BT_0142",82,132,144,231.546,231,158,121,191.511,103.235,103,59,41,54,26,38
"BT_0143",314,330,403,731.454,806,665,813,1201.489,813.765,112,85,140,170,82,160
"BT_0144",1,20,17,11,18,4,29,67,60,0,0,0,0,0,0
"BT_0145",20,54,66,117,91,76,89,133,38,12,6,0,6,17,10
"BT_0146",73,103,95,265,259,227,107,83,84,0,29,53,19,0,6
"BT_0147",15228,21538.506,18847.358,86610.565,86460.912,67266,589,458,425,256,198,281,718,435,539
"BT_0148",12865,22344.239,21916,72490.682,96116.859,75352,913,698,405,20,19,30,126,66,72
"BT_0149",2395,3145.606,3183.239,1721,1964.007,1515,259,283,201,38,37,76,213,72,130
"BT_0150",12886.476,15387.546,14851.041,4658,4227.993,3355,955,836,814,50,113,82,489,246,225
"BT_0151",1138.852,1668.322,1574.408,2869.205,2251.549,1510.326,1570.023,733.199,611.861,88.225,59,37,270.393,105.934,190.086
"BT_0152",1666.148,2725.678,2653.592,2368.795,2102.451,1840.806,856.977,1010.801,948.139,294.775,334,335,1344.607,748.066,803.914
"BT_0153",979,1137.834,917.62,949.385,994.001,717.898,11715.442,16612.386,10921.958,476.285,278,245,813.311,356,372.437
"BT_0154",4461.975,4893.166,4635.38,7893.615,7823.999,6693.102,58684.494,83577.344,56601.042,325.715,287,384,1755.689,873,974.563
"BT_0155",27019,47739.051,53772.953,79005.203,87265.882,64743.742,2935,2982,3131,1127,1061,1112,1036,734,804
"BT_0156",3229,3724.21,4284,5075.276,5347,4431,2451,3140,1899,71,133,84,115,53,64
"BT_0157",7063.773,10765.461,8835.944,36369.442,35612.306,27632.339,1375.487,1590,1346.258,704,567,715,2815,1618,1904.897
"BT_0158",4004.252,5580.329,5494.43,8974.32,11071.694,7591.502,534.513,366.055,314.742,48,63,43,290,114,143.103
"BT_0159",3327.002,3809.16,3928.164,6219.479,7313,5386.606,1423,2299.945,1438,506,326,412,320,139,207
"BT_0160",2005.007,2513.32,1853.462,7710.598,6228,3745,7,19,15,0,0,0,42,0,24
"BT_0161",4993.365,5865.904,6036.579,2359,2422.001,1831.443,165,152,136,0,32,0,67,73,28
"BT_0162",11998,16064.786,16539.083,23089.88,24769.268,17743.557,908,400,483,73,72,104,79,56,81
"BT_0163",536,641.99,623.338,1473.37,1496.923,930,202,226,159,89,85,28,7,17,24
"BT_0164",29784.022,38668.366,40053.056,86377.986,92089.978,67722.473,54058,37526,32741,3747,2585,3441,2168,1259,1957
"BT_0165",3790,5094.24,5650.792,3770,3817,3260,4465.598,3602,3333,149,197,114,112,36,55
"BT_0166",3372,4001,4035,2728.109,3536,2402,9404.402,8545,7965,1404,856,987,98,145,180
"BT_0167",1757.984,1705.943,1581.405,1941.15,1978.504,1632.751,363.674,1301.006,616.057,21,28,35.744,91,41.388,106.703
"BT_0168",3828.016,2751.057,2427.595,5309.667,4432.496,3556.249,1228.326,3370.994,1597.943,42,16,47.256,81,41.612,68.297
"BT_0169",10740.171,13679.455,14119.213,4861.883,4999.773,4164.079,548,973,641,106,66,22,100,34,56
"BT_0170",4918,6713.847,4915.787,42619.018,37846.227,22835.921,32,62.933,68,0,10,0,9,11,4
"BT_0171",36,26,28,51,24,15,365,449.067,304,0,0,0,0,0,0
"BT_0172",58,84,74,96,69,86,9,24,11,3,12,16,9,0,0
"BT_0173",52732.366,58807.177,58167.721,3233.815,3678.045,2959.032,1255.742,1975.831,1477.726,722,332,525,242,138,200
"BT_0174",29873.634,35221.964,37313.194,2788.016,2978.955,2345.968,873.258,1259.169,941.274,82,40,57,99,60,41
"BT_0175",95,422,325,4988,3846,2980,14,37,52,0,14,0,51,4,7
"BT_0176",2564,5879,5611,4793.241,3937,3212.002,717.604,496,473.448,19,39,19,161,45,67
"BT_0177",9386.672,10814.268,10370.483,10577.236,8943.789,7359.163,30997.444,38137.389,30571.822,673,506,635,763,308.747,534.903
"BT_0178",3067.057,4634.114,4438.524,3251.58,3518.706,2812.635,893.604,948.606,902.142,15,23,13.107,120.766,24.253,58.097
"BT_0179",2004.271,2087.476,2128.837,5438.002,5878.315,4716.788,406.874,497.4,378.603,57,33,23.893,61.234,13,12
"BT_0180",24601.085,32672.576,36503.928,34298.303,39073.789,27951.192,4410.691,4777.811,3571.289,960,610,757,506,185,405
"BT_0181",949.915,1066.761,1191.445,687.526,765.211,661.222,19.783,29.794,114.686,11,0,0,12,12,11
"BT_0182",1857,2491.698,2633.565,414,528,377,98,219,176,114,80,36,100,67,82
"BT_0183",3774.426,3521.701,3146.604,11482.307,12944.316,9104.495,4006.642,3838.948,2859.12,1174.435,985,929,1229,559,837
"BT_0184",2120.574,2212.34,2174.396,3956.693,3897.684,3040.505,9433.358,14101.052,9269.88,231.565,134,209,275,138,126
"BT_0185",1253.899,2005.426,1944.573,8659.75,8446.838,7454.245,860,758.239,708.988,68,107,51,141.195,113,122
"BT_0186",26500.188,40240.34,40240.431,68999.633,89708.394,65578.696,11826,11609.761,8540.012,2030,1181,1416,1424.805,446,833
"BT_0187",5326,7932,7701.556,20089.767,23217,19792.125,1056,1212,898,543,198,418,670,276,604
"BT_0188",4597,5853,6093.962,5540,5214,4102,242,518.987,355,0,38,15,65,32,39
"BT_0189",350,486,511.038,274,235,217,469,526.509,591,54,56,30,103,59,73
"BT_0190",414,616,866,134,220,105,663,1287.504,1004,72,29,35,166,47,41
"BT_0191",116,172,154,47,65,41,83,120,184,18,0,9,37,8,47
"BT_0192",243,318,289.845,1774.867,1699.855,1359,527,255,242,52,75,52,44,69,34
"BT_0193",82,121,130.155,148.289,194,150,79,96.476,86,0,19,25,12,2,4
"BT_0194",99,78,67,153.986,158,155,57,77.524,38,0,10,0,11,3,4
"BT_0195",126,148,157,228.014,190,181,993,1355,808,191,89,89,84,26,104
"BT_0196",10,47,34,12,47,31,94,94,43,0,1,24,29,12,11
"BT_0197",816,1327,1234,803,711,533,623,719,687,44,30,19,74,40,85
"BT_0198",4310,5235.516,4647.3,1554,1440,1061,458,361,380,51,36,72,129,64,85
"BT_0199",1356,2107.656,2277.7,2440,2551,1898,3281,3780,3711,139,185,169,187,137,147
"BT_0200",2325.472,3235.277,3286.032,2896.641,2541.377,2186.619,334.205,528.67,337.911,44,12,53,109.003,34,82.139
"BT_0201",3402.084,4857.31,5003.97,2553.871,2281.005,1876.916,243.795,171.438,146.353,49,34,40,134.997,119,140.354
"BT_0202",566.444,636.674,823,444.672,526.617,359.465,43,87.892,28.736,12,21,19,44,39,27.507
"BT_0203",1689,2372.74,2621,1715.816,1843,1498,180,110,94,126,88,100,153,49,102
"BT_0204",135,182,204,138,96,45,6,13,0,0,12,0,3,4,10
"BT_0205",8080,10528.371,10762.988,6239,6131,5010,980,1495,1018,60,76,48,103,94,69
"BT_0206",490,598,668,197,318,188,299,255,264,70,59,72,19,24,5
"BT_0207",58,76,93,50,54,20,57,0,3,0,0,2,3,0,0
"BT_0208",17,33,43,18,27,11,11,0,32,0,0,0,7,4,0
"BT_0209",53,89,87,147,139,123,47,129,152,0,7,26,2,4,3
"BT_0210",111,139,172,145,221,167,75,174,178,39,40,15,51,19,11
"BT_0211",95,109,159,248,285.995,223,136,206.687,186.976,1,23,12,26,19,3
"BT_0212",215,235.997,243.093,588,685.487,427.305,117,120.802,106.501,63,19,0,32,29,30
"BT_0213",14,44.003,28.907,101,120.517,112.695,23,3.512,26.523,0,0,0,23,15,6
"BT_0214",23,98,99,997,799,550,115,92,61,35,30,1,74,33,37
"BT_0215",19810.999,22977.355,27365.469,22158.967,33666.271,30128.116,54835.499,69376.187,52151.994,1669.559,825,1490.183,2153,1120.615,1247.975
"BT_0216",40227.892,62573.564,59358.368,12861.908,18096.729,15322.749,22527.444,30575.812,22535.951,3793.441,2319.77,4473.817,6354,3251.385,3703.025
"BT_0217",3437.109,5550.161,5573.053,6705.17,6318,4599.001,3306.057,3669.001,2537.055,1066,884.23,1316,1173,779,1003
"BT_0218",513,694,524,2050.645,1935.593,1498,113,65,44,13,3,0,19,5,58
"BT_0219",127,178,150,1323.355,1330.407,982,12,10,0,0,0,0,15,5,7
"BT_0220",0,0,0,0,0,0,19,4,0,0,0,0,0,0,0
"BT_0221",440.63,706.001,699.018,710.05,786,474.44,1112.235,1148.993,806.985,37,26,40,36,35,25.648
"BT_0222",826.37,735.999,816.735,931.95,870,796.56,105.765,108.007,66.015,0,18,21,36,19,4.352
"BT_0223",436,668,709,435,386,363,6,26,18,0,0,0,15,10,16
"BT_0224",3353.659,3945.077,3535.305,3297.215,3391.999,2457.977,16,14.71,9,10,27,19,13,3,13
"BT_0225",3756.583,5589.504,5716.324,6308.461,8479,6496.79,5171,4024.29,5331,1711,1403,1609,525,222,413
"BT_0226",1989.274,2144.826,1507.793,3415.794,2511.732,1885.978,0,7,0,0,0,13,0,0,3
"BT_0227",119883.461,136457.517,142489.952,52794.971,57372.269,48040.255,531,581,576,92,20,36,45,5,51
"BT_0228",37,55,60,116,161,91,0,34,33,0,0,22,17,0,3
"BT_0229",46,84,84,159,158,112,33,21,16,9,0,0,0,0,4
"BT_0230",216,248.966,250,178.992,161,148,11,0,12,0,0,0,0,0,4
"BT_0231",127,200.034,184,134.008,120,78,0,0,0,10,0,0,1,0,0
"BT_0232",280,264,256,131,200,84,10,24,30,0,0,0,4,3,4
"BT_0233",99,141,175,60,66,19,0,37,46,15,11,0,63,49,36
"BT_0234",156,247,240,388,343,212,351,324,365,0,0,14,49,35,22
"BT_0235",11,13,27,63,116,70,0,7,41,8,0,23,13,8,33
"BT_0236",11142.409,13526.364,14302.024,6070.271,7160.264,5324.205,270,248,318.332,95,110,68,57,32,52
"BT_0237",10284.591,11778.437,12248.584,7954.204,9017.639,7562.795,428.588,668,389.668,45,23,93,115,6,65
"BT_0238",4276,6361.864,6568.392,5755.349,5997.097,4853,1078.412,1219,972,54,19,34,113,43,126
"BT_0239",7499.572,10062.73,10249.862,17732.845,16231.776,15500.07,10417.038,13668.804,12821.446,732,572,449,1321.543,641.003,767.001
"BT_0240",3262.428,3966.63,3504.138,8245.155,6457.224,5655.93,5906.562,9471.177,6230.554,2695.315,1989,2798,3255.457,2179.997,2691.999
"BT_0241",11929.841,14430.203,13769.406,53013.691,47170.723,39877.616,1114.097,1903.081,1178.376,508.685,331.644,587,2030.611,1424,1318.501
"BT_0242",27180.491,45678.507,39544.971,158662.409,154353.78,105710.213,16739.303,12203.938,13630.579,16948,15288.356,12765,4614.389,3346,3364.499
"BT_0243",4717,5627,5704,4227,3663,3180,555,1021,727,44,16,40,64.035,57,26
"BT_0244",1846,4070.537,4438.078,15872.107,19224,14299,10030,12196,8456.99,2310,1993,1604,2171,1186,1453
"BT_0245",1378,2208.087,2327,7790,7971.126,6341,4994,5847,5196.01,627,473,505,1851,859,1063
"BT_0246",784,1100,1062.987,1403,1672,1192,60,183,116,22,7,29,3,4,3
"BT_0247",1947,2357.387,2616.013,3392.978,4748,3563,129,221,164,7,42,14,22,12,15
"BT_0248",789.163,1150.983,1043.207,5113.802,4454.145,3374.094,315,526.614,309,28,26,0,70,19,20
"BT_0249",14091.983,19142.008,18947.554,67375.354,78245.937,55055.655,2699.4,918.78,1038.006,145,158,120,226,234,202
"BT_0250",6636.266,10735.554,10942.641,11767.427,12443.226,9346.781,2880.453,3590.293,2759.101,303,237,402.095,397,252,284
"BT_0251",5608.588,7567.416,8256.597,12393.469,10986.868,8343.42,2079.147,2358.313,1785.892,133,15,82.905,224,155,173
"BT_0252",15825,20753.293,21832.195,11446.47,13863,10542.805,1870,1737,1249,484,391,309,441,261,278
"BT_0253",1073,1235.138,1161,1686.53,1314,1131.195,1256,1792,1515,84,68,61,242,156,176
"BT_0254",3706,4894,4963.983,3741,3900.111,2938,2890,2574,2339,174,170,125,324,174,205
"BT_0255",120.467,213.505,168.842,344.82,183,191.316,133.08,36,87.709,7,18,18,158,116,86.706
"BT_0256",135.533,411.495,381.158,988.18,658,520.684,715.92,211,486.291,4,11,25,181,105,82.294
"BT_0257",3218,4545,3901,13111,14104,10385,5904,8077,5458,760,644,716,2095,922,1125
"BT_0258",34950,46880.27,44986.193,51095.242,56644,43255.527,5328,6662,5106,1402,858,1295,2119,1021,1102
"BT_0259",9508.946,11006.199,10796.569,10056.837,11077.52,8423,2696,2154,1871,520,509,538,223,60,209
"BT_0260",32059.548,34918.344,37482.21,15200.564,18071.008,12464.13,2264.829,2583.87,2199.851,532.946,323,523.415,1589,662.287,999.991
"BT_0261",1947.507,2967.027,2619.931,4263.445,3106.472,2396.118,1023.171,837.13,902.149,80.054,35,117.585,421,230.713,209.009
"BT_0262",0,5,6,90,66,73,68,12,28,0,0,0,6,0,5
"BT_0263",22,43,26,295,213,226,210,213,156,0,28,44,150,64,110
"BT_0264",23,27.652,30,94,58,85,294.892,348,141.455,0,8,30,106,36,22
"BT_0265",18,41.348,37,111,90,48,138.108,250,149.545,7,13,0,10,6,8
"BT_0266",4,9,10,42,38,13,63,111,17,0,5,0,26,10,21
"BT_0267",2263,2978,2291,12226.442,9382,6220,3440,3439,2733,410,255,383,716,374,539
"BT_0268",491,518,508,405.908,390,270,323.388,666.611,436,46,23,0,54,31,38
"BT_0269",117,139,133,125.092,120,138,187.612,310.389,173,17,0,0,20,8,12
"BT_0270",71,34,58,48,23,29,29.777,126,34,0,10,0,9,11,10
"BT_0271",33,74,84,41,55,30,116.835,150,52.698,0,0,19,14,0,2
"BT_0272",193,271.008,252,270,282,225,404.387,329,419.302,43,17,34,54,26,22
"BT_0273",145,142,121,154.879,165,146,35,101,26,0,0,0,9,2,0
"BT_0274",20,44,13,30.121,35,18.023,3,77,58,14,0,0,3,0,0
"BT_0275",102,106,81,1453,1612,1322.977,109,188,132,60,0,12,18,0,10
"BT_0276",128.803,106.307,173.4,324.777,406.96,329.001,199.337,241.468,170.376,19,27,54,10,18,12
"BT_0277",174.197,190.693,172.6,487.223,409.04,467.317,167.645,228.532,103.624,29,10,23,30,3,5
"BT_0278",84,138,131,276,219,190.682,163.018,232.014,150,43,0,11,8,8,16
"BT_0279",4,11.186,10,13,16,16,2,3.986,5,17,0,0,0,0,1
"BT_0280",321,502.82,561.032,299,245,256,358,461.024,235,43,73,113,377,187,230
"BT_0281",300,318,296,215.789,146,211,72,128,57,0,5,0,47,47,26
"BT_0282",27,44,16,88,98,67,969,1350,947,57,125,165,165,75,70
"BT_0283",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"BT_0284",339,371,295,1434,1420,1078,5013.373,8905,4737,1722,825.005,1362,1477,968,1116
"BT_0285",486.742,547.315,597.395,465,539.184,439,2051.627,2499,2321.254,237,181.995,204,100,48,70
"BT_0286",46.258,64.125,67.557,69,85.383,46.525,107,188.788,248.57,10,4,0,36,10,13
"BT_0287",34,63.56,68.048,30.482,55.506,25.475,37,60.604,25.175,0,23,0,3.001,14,22
"BT_0288",115,168,197,219.518,224.927,117,144,135.608,100,63,24,89,181.999,74,48
"BT_0289",659,749,568,1383,1124,1049,13523,20746,13135,437,431,374,5693,2570,2718
"BT_0290",471,588,593,1523,1540,1280,925,1304,1253,141,93,61,311,120,203
"BT_0291",159,164,203,1072,1105,733,400,347,191,0,9,23,11,0,3
"BT_0292",875.007,949,987.521,123,170,110,95,208.522,93,19,0,12,8,3,11
"BT_0293",396.993,559.142,560.479,93,88,87,149,89.478,82,0,20,41,40,16,4.628
"BT_0294",225,419.858,398,66,67,81,68,182,82,51,29,74,82,58,29.372
"BT_0295",13696.883,14106.794,14369.25,11934,11352.328,10328.93,1300.511,1508.213,1357.054,88,95,36,215,80,81
"BT_0296",2212.117,2860.465,3124.75,379,360.672,336.07,965.489,1328.787,905.946,212,129,82,275,119,140
"BT_0297",437,683.031,730.533,33,36,44,109.967,170.632,111,0,17,26,19,14,45
"BT_0298",276.862,334.574,349.231,19,15,10,82.033,241.26,45,8,0,0,3,4,6
"BT_0299",1154.138,1426.852,1528.446,317,426.809,317,366,555.108,450,62,25,65,43,29,2
"BT_0300",863,1262.212,1372.722,421,552.191,352,225.772,178,212,16,72,6,9,25,31
"BT_0301",107,233,194.278,88,113,80,236.228,281,298,8,10,0,13,0,1
