Rowname,Exp,Replicate,Mucin,Species.combi,T0h,T4h,T6h,T8h,T10h,T12h,T14h,T16h,T20h,T24h,T28h,T32h,T36h,T38h,T40h,T42h,T44h,T48h,T56h,T60h,T72h,T86h,T96h,T120h,T144h,T156h,T168h,T192h,T216h,T240h,T264h,T288h
BT_pH5.5_WC_rep2_OD,BT_pH_preference_WC,2,No,BT,0.01,0.014,NA,0.023,NA,0.084,NA,NA,NA,0.289,NA,NA,0.401,NA,NA,NA,NA,0.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT_pH5.5_WC_rep3_OD,BT_pH_preference_WC,3,No,BT,0.013,0.012,NA,0.034,NA,0.115,NA,NA,NA,0.315,NA,NA,0.437,NA,NA,NA,NA,0.484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT_pH6_WC_rep1_OD,BT_pH_preference_WC,1,No,BT,0.009,0.027,NA,0.119,NA,0.399,NA,NA,NA,0.798,NA,NA,0.677,NA,NA,NA,NA,0.494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT_pH6_WC_rep2_OD,BT_pH_preference_WC,2,No,BT,0.01,0.03,NA,0.111,NA,0.382,NA,NA,NA,0.779,NA,NA,0.683,NA,NA,NA,NA,0.503,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT_pH6_WC_rep3_OD,BT_pH_preference_WC,3,No,BT,0.025,0.028,NA,0.113,NA,0.383,NA,NA,NA,0.755,NA,NA,0.683,NA,NA,NA,NA,0.505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT_pH6.7_WC_rep1_OD,BT_pH_preference_WC,1,No,BT,0.018,0.044,NA,0.257,NA,0.827,NA,NA,NA,0.723,NA,NA,0.868,NA,NA,NA,NA,0.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT_pH4.5_WC_rep1_pH,BT_pH_preference_WC,1,No,BT,4.5,4.4,NA,4.42,NA,4.38,NA,NA,NA,4.5,NA,NA,4.5,NA,NA,NA,NA,4.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT_pH5_WC_rep1_pH,BT_pH_preference_WC,1,No,BT,5,4.94,NA,4.91,NA,4.92,NA,NA,NA,4.92,NA,NA,5,NA,NA,NA,NA,4.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT_pH5_WC_rep2_pH,BT_pH_preference_WC,2,No,BT,5,4.88,NA,4.96,NA,4.92,NA,NA,NA,4.92,NA,NA,5,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT_pH5_WC_rep3_pH,BT_pH_preference_WC,3,No,BT,5,5,NA,5.04,NA,5.01,NA,NA,NA,4.97,NA,NA,5.09,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT_pH5.5_WC_rep1_pH,BT_pH_preference_WC,1,No,BT,5.5,5.35,NA,5.38,NA,5.34,NA,NA,NA,5.09,NA,NA,5,NA,NA,NA,NA,4.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT_pH5.5_WC_rep2_pH,BT_pH_preference_WC,2,No,BT,5.5,5.38,NA,5.38,NA,5.38,NA,NA,NA,5.09,NA,NA,5.04,NA,NA,NA,NA,4.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT_pH5.5_WC_rep3_pH,BT_pH_preference_WC,3,No,BT,5.5,5.43,NA,5.42,NA,5.38,NA,NA,NA,5.09,NA,NA,5,NA,NA,NA,NA,4.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT_pH6_WC_rep1_pH,BT_pH_preference_WC,1,No,BT,6,5.97,NA,5.8,NA,5.25,NA,NA,NA,4.92,NA,NA,4.83,NA,NA,NA,NA,4.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT_pH6_WC_rep2_pH,BT_pH_preference_WC,2,No,BT,6,5.93,NA,5.8,NA,5.38,NA,NA,NA,4.92,NA,NA,4.87,NA,NA,NA,NA,4.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT_pH6_WC_rep3_pH,BT_pH_preference_WC,3,No,BT,6,5.93,NA,5.8,NA,5.38,NA,NA,NA,4.92,NA,NA,4.87,NA,NA,NA,NA,4.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT_pH6.7_WC_rep1_pH,BT_pH_preference_WC,1,No,BT,6.68,6.68,NA,6.44,NA,5.38,NA,NA,NA,4.97,NA,NA,5.13,NA,NA,NA,NA,5.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT_pH4.5_WC_rep1_Glucose_mM,BT_pH_preference_WC,1,No,BT,5.53,5.98,NA,6.06,NA,6.23,NA,NA,NA,6.36,NA,NA,6.97,NA,NA,NA,NA,6.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT_pH5_WC_rep1_Glucose_mM,BT_pH_preference_WC,1,No,BT,5.65,6.09,NA,6.06,NA,6.32,NA,NA,NA,7.07,NA,NA,7.08,NA,NA,NA,NA,6.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT_pH5_WC_rep2_Glucose_mM,BT_pH_preference_WC,2,No,BT,5.58,6.1,NA,6.19,NA,6.33,NA,NA,NA,7.06,NA,NA,7.06,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT_pH5_WC_rep3_Glucose_mM,BT_pH_preference_WC,3,No,BT,5.63,6.19,NA,6.09,NA,6.32,NA,NA,NA,7.04,NA,NA,7.02,NA,NA,NA,NA,6.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT_pH5.5_WC_rep1_Glucose_mM,BT_pH_preference_WC,1,No,BT,5.81,6.23,NA,6.19,NA,6.08,NA,NA,NA,5.76,NA,NA,4.37,NA,NA,NA,NA,3.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT_pH5.5_WC_rep2_Glucose_mM,BT_pH_preference_WC,2,No,BT,5.72,6.19,NA,6.2,NA,6.12,NA,NA,NA,5.68,NA,NA,4.09,NA,NA,NA,NA,3.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT_pH5.5_WC_rep3_Glucose_mM,BT_pH_preference_WC,3,No,BT,5.71,6.16,NA,6.2,NA,6.25,NA,NA,NA,5.44,NA,NA,3.72,NA,NA,NA,NA,2.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT_pH6_WC_rep1_Glucose_mM,BT_pH_preference_WC,1,No,BT,6.12,6.26,NA,6.06,NA,5,NA,NA,NA,1.59,NA,NA,0.23,NA,NA,NA,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT_pH6_WC_rep2_Glucose_mM,BT_pH_preference_WC,2,No,BT,5.98,6.21,NA,6.08,NA,5.08,NA,NA,NA,1.77,NA,NA,0.29,NA,NA,NA,NA,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT_pH6_WC_rep3_Glucose_mM,BT_pH_preference_WC,3,No,BT,6.04,6.22,NA,6.17,NA,5.18,NA,NA,NA,1.77,NA,NA,0.27,NA,NA,NA,NA,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT_pH6.7_WC_rep1_Glucose_mM,BT_pH_preference_WC,1,No,BT,6.22,6.27,NA,5.73,NA,2.79,NA,NA,NA,0.07,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT_pH4.5_WC_rep1_Pyruvate_mM,BT_pH_preference_WC,1,No,BT,8.87,9.77,NA,9.8,NA,9.97,NA,NA,NA,10.08,NA,NA,10.2,NA,NA,NA,NA,10.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT_pH5_WC_rep1_Pyruvate_mM,BT_pH_preference_WC,1,No,BT,9.06,9.91,NA,9.76,NA,10.09,NA,NA,NA,10.36,NA,NA,10.35,NA,NA,NA,NA,10.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT_pH5_WC_rep2_Pyruvate_mM,BT_pH_preference_WC,2,No,BT,9.01,9.9,NA,9.95,NA,10.09,NA,NA,NA,10.32,NA,NA,10.3,NA,NA,NA,NA,10.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT_pH5_WC_rep3_Pyruvate_mM,BT_pH_preference_WC,3,No,BT,9.09,10.06,NA,9.83,NA,10.08,NA,NA,NA,10.28,NA,NA,10.25,NA,NA,NA,NA,10.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT_pH5.5_WC_rep1_Pyruvate_mM,BT_pH_preference_WC,1,No,BT,9.35,10.01,NA,9.85,NA,9.51,NA,NA,NA,8.05,NA,NA,5.08,NA,NA,NA,NA,3.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT_pH5.5_WC_rep2_Pyruvate_mM,BT_pH_preference_WC,2,No,BT,9.18,9.96,NA,9.89,NA,9.62,NA,NA,NA,7.95,NA,NA,4.72,NA,NA,NA,NA,3.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT_pH5.5_WC_rep3_Pyruvate_mM,BT_pH_preference_WC,3,No,BT,9.16,9.95,NA,9.92,NA,9.77,NA,NA,NA,7.49,NA,NA,4.1,NA,NA,NA,NA,2.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT_pH6_WC_rep1_Pyruvate_mM,BT_pH_preference_WC,1,No,BT,10.02,10.01,NA,9.72,NA,8.08,NA,NA,NA,1.44,NA,NA,0.5,NA,NA,NA,NA,0.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT_pH6_WC_rep2_Pyruvate_mM,BT_pH_preference_WC,2,No,BT,9.81,9.94,NA,9.73,NA,8.14,NA,NA,NA,1.57,NA,NA,0.51,NA,NA,NA,NA,0.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT_pH6_WC_rep3_Pyruvate_mM,BT_pH_preference_WC,3,No,BT,9.9,9.94,NA,9.87,NA,8.34,NA,NA,NA,1.58,NA,NA,0.51,NA,NA,NA,NA,0.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT_pH6.7_WC_rep1_Pyruvate_mM,BT_pH_preference_WC,1,No,BT,9.73,9.67,NA,9.57,NA,6.98,NA,NA,NA,0.41,NA,NA,0.43,NA,NA,NA,NA,0.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT_pH4.5_WC_rep1_Succinate_mM,BT_pH_preference_WC,1,No,BT,0.36,0.39,NA,0.4,NA,0.41,NA,NA,NA,0.43,NA,NA,0.44,NA,NA,NA,NA,0.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT_pH5_WC_rep1_Succinate_mM,BT_pH_preference_WC,1,No,BT,0.37,0.4,NA,0.4,NA,0.42,NA,NA,NA,0.45,NA,NA,0.45,NA,NA,NA,NA,0.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT_pH5_WC_rep2_Succinate_mM,BT_pH_preference_WC,2,No,BT,0.37,0.4,NA,0.41,NA,0.42,NA,NA,NA,0.44,NA,NA,0.44,NA,NA,NA,NA,0.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT_pH5_WC_rep3_Succinate_mM,BT_pH_preference_WC,3,No,BT,0.37,0.41,NA,0.41,NA,0.42,NA,NA,NA,0.45,NA,NA,0.45,NA,NA,NA,NA,0.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT_pH5.5_WC_rep1_Succinate_mM,BT_pH_preference_WC,1,No,BT,0.38,0.42,NA,0.43,NA,0.49,NA,NA,NA,1.03,NA,NA,1.69,NA,NA,NA,NA,2.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT_pH5.5_WC_rep2_Succinate_mM,BT_pH_preference_WC,2,No,BT,0.37,0.41,NA,0.41,NA,0.54,NA,NA,NA,1.11,NA,NA,1.88,NA,NA,NA,NA,2.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT_pH5.5_WC_rep3_Succinate_mM,BT_pH_preference_WC,3,No,BT,0.37,0.42,NA,0.44,NA,0.48,NA,NA,NA,1.31,NA,NA,2.21,NA,NA,NA,NA,2.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT_pH6_WC_rep1_Succinate_mM,BT_pH_preference_WC,1,No,BT,0.4,0.44,NA,0.65,NA,1.62,NA,NA,NA,4.35,NA,NA,5.71,NA,NA,NA,NA,6.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT_pH6_WC_rep2_Succinate_mM,BT_pH_preference_WC,2,No,BT,0.38,0.44,NA,0.63,NA,1.54,NA,NA,NA,4.22,NA,NA,5.56,NA,NA,NA,NA,6.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT_pH6_WC_rep3_Succinate_mM,BT_pH_preference_WC,3,No,BT,0.39,0.44,NA,0.64,NA,1.56,NA,NA,NA,4.26,NA,NA,5.63,NA,NA,NA,NA,6.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT_pH6.7_WC_rep1_Succinate_mM,BT_pH_preference_WC,1,No,BT,0.41,0.46,NA,1,NA,3.53,NA,NA,NA,7.2,NA,NA,6.96,NA,NA,NA,NA,7.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT_pH4.5_WC_rep1_Lactate_mM,BT_pH_preference_WC,1,No,BT,0.16,0.18,NA,0.19,NA,0.19,NA,NA,NA,0.2,NA,NA,0.19,NA,NA,NA,NA,0.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT_pH5_WC_rep1_Lactate_mM,BT_pH_preference_WC,1,No,BT,0.16,0.18,NA,0.19,NA,0.2,NA,NA,NA,0.2,NA,NA,0.19,NA,NA,NA,NA,0.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT_pH5_WC_rep2_Lactate_mM,BT_pH_preference_WC,2,No,BT,0.16,0.18,NA,0.19,NA,0.2,NA,NA,NA,0.2,NA,NA,0.19,NA,NA,NA,NA,0.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT_pH5_WC_rep3_Lactate_mM,BT_pH_preference_WC,3,No,BT,0.17,0.19,NA,0.19,NA,0.2,NA,NA,NA,0.2,NA,NA,0.19,NA,NA,NA,NA,0.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT_pH5.5_WC_rep1_Lactate_mM,BT_pH_preference_WC,1,No,BT,0.17,0.19,NA,0.19,NA,0.2,NA,NA,NA,0.8,NA,NA,1.13,NA,NA,NA,NA,1.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT_pH5.5_WC_rep2_Lactate_mM,BT_pH_preference_WC,2,No,BT,0.17,0.19,NA,0.2,NA,0.2,NA,NA,NA,0.85,NA,NA,1.24,NA,NA,NA,NA,1.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT_pH5.5_WC_rep3_Lactate_mM,BT_pH_preference_WC,3,No,BT,0.17,0.19,NA,0.19,NA,0.21,NA,NA,NA,0.83,NA,NA,1.15,NA,NA,NA,NA,1.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT_pH6_WC_rep1_Lactate_mM,BT_pH_preference_WC,1,No,BT,0.18,0.18,NA,0.15,NA,0.57,NA,NA,NA,1.39,NA,NA,1.38,NA,NA,NA,NA,1.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT_pH6_WC_rep2_Lactate_mM,BT_pH_preference_WC,2,No,BT,0.18,0.19,NA,0.16,NA,0.58,NA,NA,NA,1.39,NA,NA,1.41,NA,NA,NA,NA,1.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT_pH6_WC_rep3_Lactate_mM,BT_pH_preference_WC,3,No,BT,0.18,0.19,NA,0.16,NA,0.59,NA,NA,NA,1.38,NA,NA,1.39,NA,NA,NA,NA,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT_pH6.7_WC_rep1_Lactate_mM,BT_pH_preference_WC,1,No,BT,0.18,0.18,NA,0.14,NA,0.76,NA,NA,NA,1.25,NA,NA,1.35,NA,NA,NA,NA,1.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT_pH4.5_WC_rep1_Formate_mM,BT_pH_preference_WC,1,No,BT,0.77,0.79,NA,0.83,NA,0.83,NA,NA,NA,0.86,NA,NA,0.83,NA,NA,NA,NA,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT_pH5_WC_rep1_Formate_mM,BT_pH_preference_WC,1,No,BT,0.73,0.79,NA,0.8,NA,0.85,NA,NA,NA,0.86,NA,NA,0.83,NA,NA,NA,NA,0.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT_pH5_WC_rep2_Formate_mM,BT_pH_preference_WC,2,No,BT,0.73,0.8,NA,0.82,NA,0.81,NA,NA,NA,0.86,NA,NA,0.85,NA,NA,NA,NA,0.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT_pH5_WC_rep3_Formate_mM,BT_pH_preference_WC,3,No,BT,0.74,0.81,NA,0.81,NA,0.82,NA,NA,NA,0.85,NA,NA,0.82,NA,NA,NA,NA,0.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT_pH5.5_WC_rep1_Formate_mM,BT_pH_preference_WC,1,No,BT,0.75,0.8,NA,0.82,NA,0.83,NA,NA,NA,0.91,NA,NA,0.9,NA,NA,NA,NA,0.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT_pH5.5_WC_rep2_Formate_mM,BT_pH_preference_WC,2,No,BT,0.75,0.82,NA,0.8,NA,0.89,NA,NA,NA,0.9,NA,NA,0.87,NA,NA,NA,NA,0.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT_pH5.5_WC_rep3_Formate_mM,BT_pH_preference_WC,3,No,BT,0.73,0.8,NA,0.83,NA,0.86,NA,NA,NA,0.93,NA,NA,0.89,NA,NA,NA,NA,0.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT_pH6_WC_rep1_Formate_mM,BT_pH_preference_WC,1,No,BT,0.8,0.83,NA,0.99,NA,1.32,NA,NA,NA,1.32,NA,NA,1.26,NA,NA,NA,NA,1.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT_pH6_WC_rep2_Formate_mM,BT_pH_preference_WC,2,No,BT,0.79,0.84,NA,0.97,NA,1.31,NA,NA,NA,1.27,NA,NA,1.24,NA,NA,NA,NA,1.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT_pH6_WC_rep3_Formate_mM,BT_pH_preference_WC,3,No,BT,0.81,0.85,NA,0.98,NA,1.31,NA,NA,NA,1.27,NA,NA,1.26,NA,NA,NA,NA,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT_pH6.7_WC_rep1_Formate_mM,BT_pH_preference_WC,1,No,BT,0.79,0.87,NA,1.42,NA,2.39,NA,NA,NA,2.24,NA,NA,2.3,NA,NA,NA,NA,2.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT_pH4.5_WC_rep1_Acetate_mM,BT_pH_preference_WC,1,No,BT,1.28,1.42,NA,1.42,NA,1.42,NA,NA,NA,1.52,NA,NA,1.44,NA,NA,NA,NA,1.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT_pH5_WC_rep1_Acetate_mM,BT_pH_preference_WC,1,No,BT,1.33,1.48,NA,1.47,NA,1.51,NA,NA,NA,1.52,NA,NA,1.54,NA,NA,NA,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT_pH5_WC_rep2_Acetate_mM,BT_pH_preference_WC,2,No,BT,1.36,1.47,NA,1.49,NA,1.49,NA,NA,NA,1.51,NA,NA,1.54,NA,NA,NA,NA,1.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT_pH5_WC_rep3_Acetate_mM,BT_pH_preference_WC,3,No,BT,1.33,1.52,NA,1.49,NA,1.5,NA,NA,NA,1.53,NA,NA,1.54,NA,NA,NA,NA,1.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT_pH5.5_WC_rep1_Acetate_mM,BT_pH_preference_WC,1,No,BT,1.4,1.55,NA,1.64,NA,1.86,NA,NA,NA,3.29,NA,NA,5.04,NA,NA,NA,NA,6.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT_pH5.5_WC_rep2_Acetate_mM,BT_pH_preference_WC,2,No,BT,1.38,1.55,NA,1.59,NA,1.97,NA,NA,NA,3.56,NA,NA,5.48,NA,NA,NA,NA,6.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT_pH5.5_WC_rep3_Acetate_mM,BT_pH_preference_WC,3,No,BT,1.3,1.5,NA,1.63,NA,1.89,NA,NA,NA,3.87,NA,NA,6.05,NA,NA,NA,NA,7.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT_pH6_WC_rep1_Acetate_mM,BT_pH_preference_WC,1,No,BT,1.45,1.66,NA,2.15,NA,4.09,NA,NA,NA,9.52,NA,NA,10.95,NA,NA,NA,NA,11.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT_pH6_WC_rep2_Acetate_mM,BT_pH_preference_WC,2,No,BT,1.44,1.64,NA,2.11,NA,3.94,NA,NA,NA,9.31,NA,NA,10.81,NA,NA,NA,NA,11.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT_pH6_WC_rep3_Acetate_mM,BT_pH_preference_WC,3,No,BT,1.43,1.64,NA,2.09,NA,3.94,NA,NA,NA,9.3,NA,NA,10.91,NA,NA,NA,NA,11.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT_pH6.7_WC_rep1_Acetate_mM,BT_pH_preference_WC,1,No,BT,1.69,1.82,NA,2.76,NA,7.09,NA,NA,NA,12.75,NA,NA,12.62,NA,NA,NA,NA,12.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT_mucin1_rep1_OD,BT_batch_mucin1,1,Yes,BT,0.014,0.024,NA,0.211,NA,0.657,NA,0.868,0.828,0.7,0.633,0.615,NA,0.628,NA,0.648,NA,0.664,NA,NA,0.695,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT_mucin1_rep2_OD,BT_batch_mucin1,2,Yes,BT,0.006,0.02,NA,0.228,NA,0.65,NA,0.854,0.803,0.679,0.618,0.605,NA,0.629,NA,0.636,NA,0.649,NA,NA,0.698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT_mucin1_rep3_OD,BT_batch_mucin1,3,Yes,BT,0.012,0.021,NA,0.217,NA,0.65,NA,0.86,0.818,0.693,0.629,0.611,NA,0.625,NA,0.636,NA,0.653,NA,NA,0.702,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT_mucin1_rep4_OD,BT_batch_mucin1,4,Yes,BT,0.018,0.027,NA,0.224,NA,0.674,NA,0.872,0.823,0.698,0.638,0.621,NA,0.64,NA,0.651,NA,0.667,NA,NA,0.715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT_mucin1_rep5_OD,BT_batch_mucin1,5,Yes,BT,0.01,0.024,NA,0.219,NA,0.681,NA,0.864,0.82,0.693,0.634,0.619,NA,0.632,NA,0.643,NA,0.662,NA,NA,0.705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT_mucin1_rep6_OD,BT_batch_mucin1,6,Yes,BT,0.006,0.02,NA,0.235,NA,0.657,NA,0.845,0.799,0.667,0.613,0.6,NA,0.622,NA,0.632,NA,0.649,NA,NA,0.698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT_mucin1_rep7_OD,BT_batch_mucin1,7,Yes,BT,0.013,0.022,NA,0.24,NA,0.649,NA,0.821,0.785,0.658,0.604,0.6,NA,0.623,NA,0.638,NA,0.655,NA,NA,0.708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT_mucin1_rep8_OD,BT_batch_mucin1,8,Yes,BT,0.011,0.02,NA,0.224,NA,0.67,NA,0.867,0.815,0.689,0.641,0.616,NA,0.639,NA,0.647,NA,0.666,NA,NA,0.712,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT_mucin1_rep9_OD,BT_batch_mucin1,9,Yes,BT,0.014,0.031,NA,0.24,NA,0.689,NA,0.874,0.837,0.696,0.633,0.624,NA,0.652,NA,0.652,NA,0.668,NA,NA,0.713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT_mucin1_rep1_pH,BT_batch_mucin1,1,Yes,BT,6.74,6.56,NA,6.31,NA,5.59,NA,5.14,5.04,5.01,4.97,5,NA,5.04,NA,5.08,NA,5.05,NA,NA,5.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT_mucin1_rep2_pH,BT_batch_mucin1,2,Yes,BT,6.74,6.52,NA,6.31,NA,5.54,NA,5.14,5.04,5.01,4.97,4.97,NA,5.08,NA,5.13,NA,5.05,NA,NA,5.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT_mucin1_rep3_pH,BT_batch_mucin1,3,Yes,BT,6.74,6.57,NA,6.27,NA,5.59,NA,5.18,5.04,5,4.97,5.01,NA,5.09,NA,5.12,NA,5.09,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT_mucin1_rep4_pH,BT_batch_mucin1,4,Yes,BT,6.69,6.57,NA,6.35,NA,5.5,NA,5.14,5.04,4.96,4.97,5.01,NA,5.08,NA,5.08,NA,5.09,NA,NA,5.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
