,GC124661,GC124662,GC124663,GC124664,GC124665,GC124666,GC124667,GC124668,GC124669,GC124688,GC124689,GC124690,GC124691,GC124692,GC124693,GC124694,GC124695,GC124696,GC124697,GC124698,GC124699,GC124700,GC124701,GC124702,GC124703,GC124704,GC124705,GC124706,GC124707,GC124708,GC124709,GC124710,GC124711,GC124724,GC124725,GC124726,GC124727,GC124728,GC124729,GC124730,GC124731,GC124732,GC124733,GC124734,GC124735,GC124736,GC124737,GC124738
BT_0805,2292.821,3266,2210,36244,28738,34890,976,1404,1231,31234.509,28793.976,29948.601,1284,638,291,2257,1597,1108,3814,2410,2328.001,36780,35904.248,38194.882,1616,2107,2171,867,974,1176,63,610,342,3518,4022,4288,68826.193,79553.891,62997,3821,3192,2805,646,347,573,357,150,283
BT_0806,45636.384,49324.546,44152.269,25967.052,20250,25726,1447,1450,1469,18458.999,19623.172,22688.053,1015,610,466,662,1286,689,32767,44826.575,59876.914,20715.169,14580.317,18119.009,2247,2764,3553,610,855,1332,573,2203,931,41201.064,55617.415,58755.592,26629.48,29703,22513,3462,3684,3190,509,272,220,589,294,177
BT_0807,2535.994,2042.303,2163.265,977,879.782,791,180,135,250,1072.703,936.972,1026.79,94.938,78,38,242,141,146,805,748.74,2688.49,1412.299,1406.491,1558.006,207,641.903,370,165,118,192,25,315.775,155,1028.453,2214.924,1940.217,1666.519,1385.927,1072.997,166,171.959,140.259,0,24,0,181,64,131
BT_0808,2611.771,2844.647,2217.659,2015.322,2054.721,2144.037,50.002,114,157,819.735,849.48,1100.96,169.642,43.148,34,60,85.488,84,764.01,1988.102,2278.614,1789.946,853.19,1115.546,161.852,202.092,321.529,58,48,178.071,28,238.225,34,2203.96,2605.844,2644.022,1781.531,1585.019,1350.034,502.159,658.771,670.156,22,48.548,18,78,69,34.864
BT_0809,7903.589,8226.266,7621.24,5574.678,4821.845,5818.963,803.998,771,685,5957.05,6508.592,6350.428,1121.043,275.852,249,312.54,843.07,926.759,5755.432,7237.534,10550.162,7933.083,5032.741,5263.083,432.583,357.92,535.471,462,529,739.929,181,1063,386.18,6126.274,8176.335,9111.485,4246.572,4871.489,3797.473,656.857,992.421,857.794,256,126.452,315,253.951,125.329,198.136
BT_0810,974.845,1069.474,871.282,417,264.652,338,12,96,75,376.512,355.955,392.488,57.377,0,21,91.46,95.441,47.241,816.558,695.625,1091.114,507.672,422.261,452.365,9.564,33.084,20,58,77,24,0,47,44.82,620.312,918.153,896.492,682.77,570.88,472.492,21.985,6.849,40.791,2,19,36,93.049,30.671,58
BT_0811,2700,3391.364,2760,939,758,773,23,172,254,433.004,326,436.006,40,60,56,53,62,26,1614,1548,2265,947,621,954,61,181,166,82,93,250,45,271,69,2159,2230,2103,1056,1015,832,98,70,37,55,15,29,54,41,60
BT_0812,251,307.764,296.442,244.391,213.013,169,41,43,50,67.591,87.573,107.728,923.134,274.948,191,281.359,154,25,69,160,280.866,262.294,134.917,141.128,1251.94,973.98,1218.263,0,14,38,27,79,31,95.368,101.427,123.789,263.019,220.668,145.738,2293.76,3341.613,2346.282,26.064,33,43.265,74.998,49,21.827
BT_0813,409,572.236,401.558,513.609,356.987,510,161,122,168,263.841,275.427,273.272,475.866,119.052,58,555.641,187,147,275,287,490.134,553.706,315.083,432.872,336.06,289.02,326.737,121,63,143,43,272,118,401.632,412.573,421.152,624.981,580.332,492.262,559.24,893.85,629.718,139.936,67,84.735,186.002,120,134.173
BT_0814,7296.169,8155.708,6485.926,3665,3198,3437,97,215,218,3609.6,4520.045,4166.117,519,107,118,283,103,186,5956.056,5515,8514.424,8652,6522,6179.003,291,376,654,81,97,119,49,368,195,6582,7338,7052.539,5664.205,5451,4258,1122,1441.536,1107,190,129,132,197,97,117
BT_0815,18097.944,21706.78,15622.719,3263.227,2539,4005,149,225,214,1888.891,1561.641,1942.307,120,108,65,164,196,61,13111.035,12904.589,19183.189,3342.996,2127.019,3237.115,314,333,350,81,160,216,155,611,271,13337.524,15544.171,15363.346,4882.175,5059,4734,83,78,52,32,61,23,230,107,192
BT_0816,7128.008,13833.524,5716.318,1602.773,1647,2545,44,51,72,935.109,1423.358,1717.693,78,0,19,4,63,13,2272.319,6415.6,6097.862,1633.004,717,943.043,21,26,37,84,29,76,11,167,71,4741.476,5334.38,4358.376,3795.81,3816,4171,9,13,2,0,0,15,22,16,22
BT_0817,2618.924,3433.912,2814.406,1362,1002,979,42,127,102,1963,1314,1540,157,77,26,263,55,26,1057,852,2361.013,2673,2281,2906.596,791,919,823,95,85,194,77,108,45,1449,2516.255,2324,7777.893,5685,4225,892.014,432.003,538,87,59,41,209,167,140
