,GC124661,GC124662,GC124663,GC124664,GC124665,GC124666,GC124667,GC124668,GC124669,GC124688,GC124689,GC124690,GC124691,GC124692,GC124693,GC124694,GC124695,GC124696,GC124697,GC124698,GC124699,GC124700,GC124701,GC124702,GC124703,GC124704,GC124705,GC124706,GC124707,GC124708,GC124709,GC124710,GC124711,GC124724,GC124725,GC124726,GC124727,GC124728,GC124729,GC124730,GC124731,GC124732,GC124733,GC124734,GC124735,GC124736,GC124737,GC124738
BT_0001,29,57,34,145,106,109,112,40,29,94,70,59,4,10,0,85,12,51,40,36,31,144,113,103,2,48,13,40,10,33,0,45,35,29,48,48,261,279.998,228,77,25,81,19,41,74,34,54,41
BT_0002,79,89,65,89,65,41,0,8,8,80,103,64,66,32,0,138,59,39,67,31,57,133,113,79.002,19,5,56,0,5,6,0,15,32,49,39,49,196,197.002,128,81,69,68,0,17,0,25,12,16
BT_0003,28,41,20,47,14,19,0,2,0,30,16,42,6,8,0,0,0,6,23,11,16,54,52,31,10,0,15,17,0,0,0,45,0,26,38,30,42,31,37,70,61,42,10,12,0,0,8,0
BT_0004,3,11,7,10,6,35,0,3,14,2,4,7,5,0,8,0,0,0,5,13,4,5,0,15,0,0,16,0,0,0,0,0,21,0,3,3,9,13,9,7,31,0,0,0,0,3,0,0
BT_0005,5,6,2,6,11,18,0,2,0,7,8,3,0,0,0,0,0,7,4,7,8,0,3,6,0,9,0,0,0,0,0,0,0,7,8,5,2,13,11,0,10,0,0,0,0,0,0,6
BT_0006,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,11,0,0,10,0,5,4,1,21,0,0,0,0,0,0,0,0
BT_0007,3,3,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,0,3,0,0,0,0,7,6,0,0,0,0,0,0,0,0,1,0
BT_0008,2246.002,2543,2336,403,389,521,250,280,162,328,296,301,215,100,71,618,116,73,1723,1165,1595,595,342,371,352,320,455,236,162,386,110,577,137,1262,1268,1261,798.012,828,564,502,943,600,152,149,246,370,152,257
BT_0009,281,221,255,179,155,219,37,0,18,658,705,572,36,19,0,13,38,0,239,220,361,757,633,611,61,44,108,19,31,27,0,8,9,324,497,508,655.988,687,466,112,103,74,26,0,0,16,0,4
BT_0010,80,72,55,66,38,67,5,7,0,81,49,79,0,20,0,15,27,0,98,57,145,102,145,109,18,4,14,0,0,20,0,0,0,92,189,118,175,214,160,23,11,11,0,0,0,0,0,0
BT_0011,29.327,17,23,28,16,28,0,0,0,30,23,18,7,0,0,8,16,38,57,23,32,23,43,37,0,0,0,0,0,0,0,0,0,15,37,33,48,37,34,9,0,0,0,0,0,0,0,0
BT_0012,267,226,246,463,307,463,246,201,177,895,799,662,127,36,22,73,97,92,513,259,335,740,910,992,166,412,315,61,122,251,15,34,12,241,382.543,396,1075,1315,893,176,148,136,102,42,23,37,16,44
BT_0013,57,47,37,26,57,31,0,25,0,65,57,89,0,0,20,0,1,0,44,30,77,70,75,118,3,6,7,0,0,9,0,6,0,24,69.457,70,117,134,66,45,9,44,0,6,0,0,3,0
BT_0014,181,132.765,170,135,165,126,33,7,39,366,354,256,15,9,10,55,53,20,295,166,281,348,384,380,26,75,41,29,0,20,0,27,23,151,307,321,508,552,361,59,29,71,0,23,19,12,14,10
BT_0015,17,25,25,3,2,9,10,19,0,42,53,46,9,11,16,0,11,0,13,7,53,31,71,58,21,5,0,0,0,0,0,9,0,8,39,41,85,62,49,0,0,0,0,0,0,9,0,0
BT_0016,17,13,8.252,5,3,6,0,7,11,7,20,11,13,0,0,8,24,10,19,12,22,14,17,12,0,0,0,0,0,13,0,0,0,26,13,19,6,8,3,16,0,0,0,0,0,0,0,0
BT_0017,31,21,25.748,25,6,0,0,3,0,17,19,16,2,0,0,0,8,0,1,14,29,13,37,4,0,20,11,0,29,0,0,8,9,5,21,22,21,37,24,9,5,10,0,5,0,11,0,3
BT_0018,18,35,26,45,17,46,21,14,12,162,171,134,100,63,56,32,53,38,51,15,49,288,253,215,118,43,107,34,20,19,0,1,0,19,56,45,123,133,111,98,3,86,8,31,0,4,0,3
BT_0019,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
BT_0020,0,0,0,0,0,0,0,0,12,1,3,3,0,0,0,0,25,0,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0
BT_0021,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,6,0,4,5,0,0,0,0,0,0,0,4,5,4,4,5,0,0,0,0,0,0,0,0,0
BT_0022,11.111,13.41,2,8,19,26.671,0,0,0,20.989,25.991,23.993,0,0,0,22,0,0,3,2,6,16.988,4.991,7,7.004,7,0,0,0,0,0,6,0,21,16,13.583,42.957,20.951,39.977,19,5.824,0,0,0,0,13,19,3
BT_0023,0,5,1,0,0,0,0,0,0,0,0,0,6,0,0,3,0,0,0,1,2,3,1,0,12,0,0,0,0,0,0,5,0,0,0,0,1,0,0,4.852,17.517,20,0,0,0,0,0,9
BT_0024,10,12,17,44,31,69,26,40,20,75,151.571,67,71,14,0,43,38,18,48,34,39,119,165,133,37,13,44,8,0,19,0,11,12,23,11,38,64,96,64,205.148,312.483,173,25,28,22,19,8,24
BT_0025,0,0,2,10,3,4,0,0,0,6,4,3,9,11,0,0,0,0,0,0,2,17,3,10,25,0,0,0,0,0,0,5,0,0,2,0,7,5,3,39,0,7,0,0,0,0,0,0
BT_0026,14,17,7,4,3,0,0,1,0,5,0,5,3,0,0,4,15,0,10,5,13,10,8,6,30,31,33,0,0,0,0,0,0,15.143,6,19,11,0,5,40,43,61,0,2,0,8,2,0
BT_0027,167,236,227.057,48.42,3,8,12,2,0,41,10,15,3,31,0,69,13,0,35.563,45,78,27,35,38,34,92,39,0,0,31,19,1,0,52,61,37.196,148.219,91.309,102,35,65,95,0,0,0,11,17,5
BT_0028,95.288,96,99.4,59,42,49,0,8,10,39.872,32,31,10,0,0,18,0,0,63,33,43,43,67,54,18,26,10,2,14,38,0,26,0,26,76.999,40,86,80,85.999,8,0,0,0,12,0,0,0,4
BT_0029,538.945,614,523.6,495,477,616,7,16,0,351.128,438,500,46,48,89,27,103,26,366,494,559.301,568,384,407,63,88,64,5,15,7,0,18,52,537,618.001,557,439,539,370.468,165,225,146,0,18,15,0,18,6
BT_0030,175.767,299,227,209,213,228,0,11,13,134.001,176,187,35,27,16,13,0,0,252,257,289.699,227,172,182,22,25,48,23,0,0,0,10,0,286,352,343,144,234,182.532,84,161,71,0,0,0,8,0,1
BT_0031,96,86,68,84,33,74,13,7,0,53,43,44,21,0,13,5,13,0,75,101,72,62,79,71,23,50,24,0,10,0,0,14,0,100,94,104.988,90.094,105,111,47,44,54,0,0,0,5,13,5
BT_0032,7,17,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,4,2,1,0,0,0,0,0,0,0,0,8,0,1,1,2.012,16.906,1,0,0,0,0,0,0,0,0,0,0
BT_0033,45,66,37,85,26,80,7,18,26,41,40,45,19,0,0,47,9,4,59,32,55,82,113,59,25,10,40,53,10,14,1,55,8,39,40,35,98,123,74,0,89,19,25,16,0,10,13,2
BT_0034,138.998,172,161.006,81,33,62,31,21,35,91,76,91,81,27,35,136,86,17,74,71,115,90,95,106,30,170,138,11,50,40,7,57,46,118,94,120,285.667,292,261.002,554,965,395.554,24,21,0,124,31.999,63
BT_0035,4,9,7,2,0,0,0,0,8,0,0,0,5,0,0,19,4,0,9.047,3,7,1,1,3.135,6,0,2,0,0,0,0,0,0,0,0,4,3,3,0,0,0,7,0,8,0,0,1,0
BT_0036,20,15,41,24,11,32,0,35,28,50,44,47,31,0,16,4,65,0,43,54,48,100,70,87,25,44,49,28,34,22,8,2,14,41,28,55,79,120,63,47,5,38,17,6,13,21,0,5
BT_0037,902,1209,684,392,295,335,41,53,21,581.054,370,449.985,121,33,0,58,74,102,1009,586,963.87,813,863,880,135,148,121,51,48,99,13,96,47,771,757,782.211,540,547,506,214,226.88,163,0,22,51,24,32,43
BT_0038,60,114,49,24,23,11,0,0,22,6.946,3,6.015,0,12,0,14,9,10,16,9,30.13,13,15,11,12,8,2,9,12,0,0,8,0,12,24,18,27,24,10,15,78.12,1,0,0,0,5,0,3
BT_0039,64,123.999,60,88,83,96,29,6,7,44.623,43,60,23.658,16,0,0,13,0,55,76,118.447,114.54,59,65.748,4,6,10,16,5,7,0,0,12,48,81.426,97.487,46.546,110.817,45,5,7,25,0,0,0,3,6,2
BT_0040,216,295.001,167,185,193,207,40,37,36,183.377,159,145.887,44.342,4,12,17,23,20,206,222,277.553,432.899,419,452.473,48,35,130,37,13,60,0,81,35,113,123.574,161.513,132.454,193.183,58,12,23,73,7,30,6,33,8,16
BT_0041,217.589,307.702,179.278,365,262,370,40,14,12,251,289.999,298.854,21,2,0,8,57,25,288,211,239.72,696.562,620,620.519,28,48,46,39,6,22,5,53,8,125,192.998,211,221.787,287,214,38,8,21,0,13,22,4,0,18
BT_0042,89.411,125.298,91.73,131,103,106,0,0,0,49,50.001,20.259,2,8,0,0,0,6,46,92,69.28,77,58,126.261,4,0,6,9,20,5,0,16,8,66,58.002,45,56.213,43,38,0,0,10,0,8,0,4,0,5
BT_0043,2,0,2.992,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,1,0,0,0,0,0,0,0,1,0,0,1,2,11,0,4,0,0,0,0,0,0
BT_0044,51,66.75,43,37,22,36,0,6,0,20,21,29,4,13,0,22,0,0,14,14,26,59,43,39,0,18,25,0,0,19,0,0,0,22,17.288,17,40.214,60,60,11,29,34,0,0,0,0,6,0
BT_0045,104,155.017,63,68,66,67,0,0,0,83.911,46.006,81.798,32,5,17.438,34.12,26,0,33,53,67.909,126,113.662,163,27,46.513,59,0,2,19,18,0,0,9,50.712,36,162.381,211.603,157.926,126.155,111.416,72.237,0,14,15,6,5,11
BT_0046,180,205.233,117,143,109,152,17,40,12,164.106,193.994,165.202,89,3,35.562,24.88,49,10,52,75,143.091,338,222.337,287,80,55.487,165,0,0,0,27,14,16,65.85,127,100,275.405,325.122,171.074,396.845,296.584,271.763,23,36,14,35,4,12
BT_0047,19,42,23,22,22,23,0,0,0,10,8,10,7,0,0,0,15,0,8,26,25,11,8.001,8,0,0,3,0,0,17,0,22,0,6.15,12,17,41,19.275,12,0,25,33,0,0,0,0,0,0
BT_0048,51,49,21,39,6,35,2,0,23,10,15,16,5,0,0,7,0,0,13,24,37,23,9,23,0,5,1,0,0,0,0,0,12,15,18,11,50,22,25,14,44,20,0,0,0,7,0,0
BT_0049,117,124,57,90,123,121,0,11,0,71,88,77,26,17,0,41,0,24,61,56,99,179,141,154,10,32,32,0,0,23,38,25,13,59,78,30,125,159,164,38,36,35,0,0,15,16,6,20
BT_0050,69.605,83,42.836,130.034,72,112,44,0,34,129,159,142.999,68.842,35,15,31,39,26,32,59.663,107.513,335,232.726,227,51,39,36,37,0,0,6,52,18,35,80,80,120.001,110,71,109,86.781,206.015,11,10,30,6,3.708,16
BT_0051,89.395,107,64.164,65.966,88,72,0,18,39,54,55.13,94.001,20.158,6,0,8,26,14,61,24.337,95.487,94,88.274,110,6,22,33,0,24,28,0,7,6,55,84,51,108.999,75,118,9,17.219,31.985,0,15,13,8,7.292,27
BT_0052,631.559,916,504,933,561,1129,42,34,5,1199,974.719,960.726,45,15,22,20,52,7,554,422,659.135,2722.922,2952,2484.156,93,174,101,46,9,66,37,2,5,353,379,434,998.352,1500,1188,68,31,22,48,9,6,4,5,7
BT_0053,186.441,247,132,234,226,236,48,96,22,189,151.151,150.274,93,13,28,57,135,78,193,151,175,255,464,457.844,19,34,48,34,23,86,0,5,29,160,107,95,251.648,224,198,10,16,17,23,0,0,33,9,7
BT_0054,84,97,60,100,83,125,16,16,0,106.011,99,143,31,0,0,6,30,14,64,60,119,228,199,135,35,32,8,23,20,0,0,28,4,38,62,74,81,40,109,37,29,38,16,9,9,0,2,12
BT_0055,90.284,117,75,159,117,156,0,9,29,88.989,86,119.414,45,0,0,0,14.016,0,34,81,78,279,207,248,10,4,0,0,23,0,13,28,14,48,51,58,117,145,129,7,0,7,0,4,0,6,0,0
BT_0056,145.716,182,97,285,238,230,13,53,27,239,275.302,208.694,36,0,6,11,47.984,0,143,147,204.11,570,529.677,467.929,26,24,24,8,13,0,0,25,0,93,111,145,164.22,234.503,185,34,25,14,0,21,0,9,15,0
BT_0057,57,64,37.989,108,104,105,15,4,0,88,144.698,102.892,8,0,14,3,0,0,70,45,71.89,126,159.323,241.29,11,20,49,0,7,0,0,7,15,62,50,57,102.78,146.497,73,7,2,0,0,0,0,0,0,7
BT_0058,1331,1394.533,954.24,2197,1645,2560.323,449,491,302,3723.771,4691.164,3105.66,728,299,202,245,703,690,2851,1266,1648,4991.46,5679.706,5071.78,667,926,1209,337,675,521,30,80,105,814,1350,1543,1868.352,1740,1370,528,513,278,145,125,85,110,22,33
BT_0059,1065,1427.635,894,1509.065,1264,1835.722,206,192,84,2168.894,2536.836,1860.262,233,107,111,135,260,129,2712,1148,1413,3225.536,3856.298,3491,327,578,470,420,288,190,35,78,90,933,987,1289,1407.648,1472,863,227,206,193,1,45,13,20,10,36
BT_0060,314,387,223,489,446,541,40,12,72,840.483,784,624.349,12,22,19,20,71,78,772,325,473,1214.011,1582.995,1606,41,154,69,106,15,72,20,52,0,264,335,310,555,529,443,41,0,20,0,15,0,22,2,0
BT_0061,1661,1953,1301.05,2632,1890,2816,451,362,191,4623.853,4366,3459,279,166,168,262,680,282,3506,1646,2091,5914.993,6549.589,6775,710,1119,876,294,605,523,11,122,113,1239,1593,1703.037,2713,2606,2003,449,188,188,48,90,0,12,18,23
BT_0062,2,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,6,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
BT_0063,2,3,6,0,0,7,0,0,0,2,5.103,3,0,0,0,0,0,0,1,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,5,2,0,0,0,0,0,0,0,0,0
BT_0064,580,839,423.46,1456,1213,1752,117,189,160,1654,1440.897,1397.977,89,30,7,174,203,63,910,504,711,2722,2774.007,3156,170,373,250,170,117,175,65,70,40,330,479,622,1376,1559,1396.001,408,435.001,292,75,40,30,17,19,72
BT_0065,1293,1795,900.54,2739,2045,2509,661,786,270,3949,4176.992,3041.023,732,264,187,261,197,200,3779,1452,1729,7382.179,9463,9252.002,1451,2301,1560,521,786,726,66,201,117,946,1211,1372,2651,3035,2114.999,1148,346,460,46,97,41,83,56,62
BT_0066,148,221,138,304,268,261,0,28,0,189,213,167,15,0,0,8,41,0,180,134,203,371,300,357,8,25,35,16,12,15,0,32,35,97,112,149,167,224,144,28,9,0,12,0,0,4,6,2
BT_0067,13,27,25,16,17,23,0,0,0,22,8,14,0,0,0,0,0,0,7,17,23,25,10,18,0,0,2,0,0,0,0,9,0,6,11,13,24,22,17,0,0,0,0,0,0,0,0,0
BT_0068,114,134,69,178,100,202,67,61,14,187,134,234,41,20,41,13,143,70,150,113,107,379,418,319,49,53,61,6,79,46,0,28,31,92,87,92,184,199,156,41,21,3,13,7,21,16,0,9
BT_0069,352.195,418.011,323.262,508,511,359,22,44,0,279.787,365.993,387,30,37,0,34,0,29,217,341,347,445,245.569,346,17,13,70,27,12,10,0,34,3,471,507,450,849,1051.616,907,61,84,32,104,4,0,19,56,23
BT_0070,562.841,666.989,575.727,554,533.181,629,77,5,0,445.482,398.007,532.987,24,0,0,17,0,47,354,454,577.049,629,485.431,578,17,41,37,16,4,0,0,9,17,421,559.017,484,1253,1497.384,1203,14,23,24,25,4,8,22,10,14
BT_0071,1368,1777,1375,1141,972.819,1255,30,60,43,1056.791,1194,1066.013,45,9,28,58,48,0,1534.617,1136,1778,1331,1462.001,1659,38,60,67,0,28,53,12,33,20,1123,1436,1304,2350,2467,1875,39,24,34,0,8,0,20,26,27
BT_0072,851.962,768.646,744.282,1122.477,952.239,1050.007,168,128,43,738.62,677.565,677.74,67.276,47,14,48.295,37,44.895,2508,1219.845,1014.838,983.296,1141.752,1081.628,48,122,77.036,154,104,147,24,66,44,1541.989,1132.432,1038.141,921.673,897.415,555.475,20.11,12,7,14,18,0,9,17,15.43
BT_0073,40879.58,39536.247,34858.218,44056.151,34131.153,42742.885,6037.465,6464.349,4437,120789.386,127728.3,95150.062,23697.591,8729.95,6632.046,6937.341,13143.415,11377.624,73917.17,34845.748,60194.707,132666.946,154496.896,135105.444,19163.739,24678.244,27216.911,5388.535,6086.098,5800,655,2217.576,1067,44441.228,66149.202,68386.782,95140.372,97033.845,68101.688,23856.832,14121.257,14381.077,2600.819,2130.814,2097.87,1146.186,594.954,1030.036
BT_0074,8404.082,8807.561,8076.64,7118.388,4923.608,6207.108,2304.535,2661.651,1784,19551.54,18143.637,14813.782,7934.133,4224.05,3433.954,3086.363,7598.585,4809.481,12984.507,6531.109,13016.573,19433.745,22560.829,22527.531,7935.261,10161.756,10577.054,1876.465,1968.902,2146,302,691.424,518,8712.465,15146.75,14864.227,16960.503,16340.501,11818.446,7870.058,6123.743,4679.923,1643.181,1532.186,1424.13,582.814,318.046,565.534
BT_0075,72.889,50.59,67,23,7,13.329,7,10,0,32.011,31.009,36.007,65,14,0,19,29,0,32,14,34,41.012,17.009,37,115.996,65,142,0,0,5,9,14,0,16,29,31.417,87.043,68.049,63.023,21,79.176,22,6,39,40,10,21,10
BT_0076,459,565,543,44,22,53,29,28,61,29,15,33,83.032,28,48,165,34,43,150,447,517,134,83,104,54,99,100,10,3,50,0,122,35,325,365,352,202,224,105,68,154,145,0,26,32,56,17,73
BT_0077,44,43,32,47,24,32,6,5,0,27,36,40,10.968,0,0,10,0,0,56,41,42,56,72,75,9,2,9,23,22,10,0,28,21,41,44,23,18,38,79,6,0,0,0,2,0,20,3,14
BT_0078,12,12,7,0,0,1,0,0,0,3,0,1,5,0,0,3,0,0,11,7,9,0,1,2,0,0,0,0,0,0,0,0,0,0,3,8,21,20,11,0,6,0,0,0,0,0,0,0
BT_0079,0,1,4,0,0,3,0,0,0,0,0,0,0,12,0,4,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,8,0,0,0,0,0,0,0,0
BT_0080,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
BT_0081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BT_0082,1105.478,1550.338,929.47,554.303,477,277,22,68,88,226,268,256,1323.862,313,296,548.699,908.986,377,672,551,791.442,854.66,629,613,208,156,281,82,34,43,0,48,47,990,768.801,667.99,993.988,601.889,569.373,339,681.981,413.002,14,47,99,38,10,53
BT_0083,1664.522,2248.662,2076.568,755.697,630,576,36,20,0,236,251,294,257.138,125,69,471.301,781.014,167,565,706,968.527,921.34,297,315,249,166,246,12,25,10,0,48,32,1940,1387.199,1083.01,1704.012,1236.111,1281.627,380,699.019,510.998,72,4,40,53,25,46
BT_0084,5,29,15,64,31,49,28,5,23,192,218,162.736,42,9,11,31,25,0,26,6,16,151.879,260,194,101,82,114,20,0,15,0,13,0,8,42,16,158,188,131,134,80,96,23,2,21,0,14,1
BT_0085,1,5,7,15,4,7,6,8,0,16,23,23.767,6,0,0,0,0,0,8,12,5,32.121,25,39,4,6.048,6,0,10,0,0,7,4,10,6,1,13,32,28,0,20,0,0,3,0,2,0,0
BT_0086,15,25,13,65,11,35,32,28,14,48,38,26.496,29,0,0,19,64,0,43,10,27,39,47,57,10,45.952,0,0,1,55,0,10,22,8,27,28,107,116,84,9,50,60,9,0,0,14,5,14
BT_0087,23,16,8,61,42,42,81,194,149,131,124,95,251,130,79,398,93,137,26,3,29,134,158,120,357,295,418,86,150,172,25,109,67,36,25,25,179,151,90,468,498,592,53,51,83,80,47,49
BT_0088,3,0,0,2,3,1,9,0,0,3,2,3,0,0,0,0,0,0,0,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,6,4,7,1,0,0,0,0,0,0,0,0,0,0
BT_0089,3,4,5,0,0,1,0,0,0,1,6,7,0,0,0,0,0,0,4,7,1,18,10,4,10,0,5,0,0,0,0,0,0,0,3,6,8,12,9,0,0,3,0,0,0,0,0,0
BT_0090,15,17,9,21,35,65,0,3,16,33,59,45,21,15,0,12,0,0,17,11,17,37,55,49,21,5,30,12,7,0,0,8,4,29,17,13,59,73,53,9,18,12,0,14,0,3,0,0
BT_0091,3,0,2,5,7,6,0,0,0,3,8,4,7,0,0,5,14,6,2,0,1,5,3,4,0,0,18,0,0,0,0,9,0,5,1,1,5,5,4,7,8,0,0,11,20,0,0,0
BT_0092,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
BT_0093,6,6,10,2,22,14,0,0,0,22,23,14,11,14,0,0,26.487,0,29,9,10,16,27,16,7,20,32,0,0,0,0,8,0,9,10,16,40,35,38,0,2,0,13,10,0,14,4,0
BT_0094,6,1,8,14,17,18,10,16,0,31,9,10,11,0,0,0,11.513,0,14,5,10,12,18,24,0,15,13,10,21,0,0,0,0,20,10,5,14,31,38,9,21,16,16,9,0,0,0,0
BT_0095,0,0,2,0,0,0,6,0,0,2,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BT_0096,3,16,13,39,25,29,12,0,0,102,71,65,27,24,13,21,0,0,18,13,28,97,60,60,26,28,15,18,21,0,0,3,0,12,33,26,73,133,93,64,8,90,34,0,0,6,4,0
BT_0097,2,1,6,0,4,1,8,0,0,2,0,0,0,0,0,0,0,0,0,0,3,1,1,1,0,0,7,0,0,0,0,0,0,4,1,1,0,6,5,0,0,0,0,0,0,0,0,0
BT_0098,3,6,14,15,17,7,0,11,0,26,31,17,27,0,0,14,14,31,14,4,5,16,38,19,11,15,12,20,7,0,0,0,0,15,2,8,34,30,29,8,0,1,0,11,7,5,0,4
BT_0099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,13,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0
BT_0100,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,0,5,0,0,0,0,2.377,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,7
BT_0101,4,12,2,3,9,0,0,0,0,12,8,4,0,0,0,0,0,14,16,1,6,14,13,6,0,3,0,0,0,0,0,9.623,0,2,6,1,13,15,14,0,0,0,0,0,0,0,0,0
BT_0102,9,13,13,22,11,14,0,0,11,17,16,27,32,0,0,14,0,13,14,8,10,53,21,29,0,6,5,0,0,0,0,11,13,26,5,6,62,54,37,22,12,29,11,12,0,4,3,8
BT_0103,1,2,2,0,0,2,0,0,0,8,0,3,14,0,0,0,17,0,0,4,2,6,0,1,3,23,0,0,0,10,0,0,0,0,1,0,6,3,6,0,0,34,0,0,0,4,0,0
BT_0104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0
BT_0105,30,25,18,57,32,59,12,9,6,94,97,79,18,2,0,48,1,33,81,16,35,89,116,92,32,45,87,0,39,20,0,1,0,23,29,11,144,175,81,31,37,6,2,21,0,13,2,9
BT_0106,2192,2641.955,1943,1071,711,862,210,154,179,1970,1216,1465,187,49,41,213,57,57,1814,1274,1938,1672,1846,2198,430,613,548,67,92,182,16,105,90,1693,2606,2548,5598,5384,4190,592,345,370,125,102,81,104,37,82
BT_0107,9,5,1,8,3,2,0,14,0,7,10,7,13,0,0,32,0,0,3,0,1,6,3,14,0,1.359,8,0,7,5,0,48,0,9,4,3,27,1,4,13,0,0,0,0,0,27,14,8
BT_0108,28,23,25,13,5,18,12,12,0,41.281,48,49,8,8,0,11,0,0,13,15,26.001,26,17,34,3,31.641,19,0,0,10,0,16,11,15,29,16,66,118,56,0,20,30,7,6,0,18,2,17
BT_0109,3,3,4,0,5,0,0,0,0,8.719,3,0,0,0,0,0,0,0,3,2,12.999,7,19,5,3,0,8,0,0,0,0,0,0,0,5,4,7,4,6,0,0,0,0,0,0,0,0,0
BT_0110,18,38,22,5,3,8,0,0,0,8,6,5,0,0,0,42,21,11,3,6,15,14,4,6,0,0,8,13,0,18,0,33,0,9,16,15,49,37,46,16,27,0,10,0,0,5,16,0
BT_0111,151,161.03,168,69,22,33,12,0,0,231,195,131.002,0,5,0,2,0,0,40,4,102,178,271.98,299,1,0,6,0,0,0,0,0,0,39,114,79.966,2780,1811,1638,0,0,0,0,0,0,6,0,6
BT_0112,41,37,55,63,41,53,0,11,0,58,32,17,10,8,0,18,8,0,40,31,55,68,62.02,36,26,26,9,9,0,26,0,3,7,36,44,37.034,63,107,97,7,19,15,0,23,0,16,0,10
BT_0113,39,53,22,28,52,22,0,1,0,41.512,9,27.266,0,0,0,23,0,0,48,25,40.566,35,51,63,0,5,0,0,10,6,0,9,0,29,24.132,26,193,154,161,4,7,0,0,0,0,7,4,0
BT_0114,119.152,167,171,132,101,172,3,12,31,289.488,175,226.734,15,7,0,16,31,26,211,143.658,128.434,185,181.005,251,0,0,4,13,0,0,0,0,3,141,183.629,219,354,342,295,46,39,10,11,2,26,0,0,1
BT_0115,30.848,28.988,36,3,4,2,0,6,0,13,7.597,6,0,0,0,0,0,0,33,22.342,21,12.986,2,6.022,0,4,0,0,3,0,0,18,0,32,18.24,20,19,31,17,7,0,0,14,6,0,1,0,0
BT_0116,122,133.012,86,66,62,30,1,10,34,34,44.403,38,42,36,21,20,19,18,82,116,106,69.014,43,57.978,13,22,20,42,3,4,0,8,0,96,73,97,53,80,58,34,90,41,21,0,0,10,5,8
BT_0117,20,44,14.485,14,3,10,0,0,0,2,7,5,1,0,0,5.605,0,11,10,17,32,2,3,1,6,0,0,0,10,0,0,0,15,8,31,12.596,4.311,15,6,0,1,0,0,6,0,2,4,1
BT_0118,94,118.564,143.04,15,10,6,0,9,0,9,5,10,17,0,0,31.395,0,0,20,44,53.833,3,6,7,11,15,0,0,0,0,0,6,0,51,35,28.404,18.689,7,7,22,0,35,0,6,0,7,0,4
BT_0119,138.399,162.263,171.905,2,0,0,0,0,0,0,0,3,0,0,1,1.035,0,0,5,31,43.028,0,0,0,0,0,0,0,0,0,0,0,0,13,16,29,8,6,1,0,0,0,22,0,0,0,0,0
BT_0120,40.619,73.19,67.57,0,0,0,0,0,0,4,2,2,11,0,0,8.965,0,0,0,12,42.17,0,0,0,0,0,0,0,0,0,0,0,0,10,8.997,7,0,1,0,15,0,16,0,0,0,0,0,0
BT_0121,4350.982,4374.982,4387,540,422,417,5,21,60,323,250,222,68,36,37,48,31,15,2955,1715,3642.969,651,620,916,71,235,151,10,39,21,0,17,0,1833,1914.003,1862,985,1011,864,201,104,70,0,10,0,18,10,26
